date,activos,positivos,muertes,sospechosos,muestra,activos sospechosos,defunciones sospechosos,muertos negativos
2020-07-05,26295,256848,30639,71305,641142,41706,2128,7775
2020-07-04,26075,252165,30366,74387,634991,45435,2121,7706
2020-07-03,26063,245251,29843,77750,624987,50105,2169,7604
2020-07-02,25565,238511,29189,76423,610495,48774,2185,7461
2020-07-01,24734,231770,28510,75005,595917,47757,2204,7307
2020-06-30,23782,226089,27769,72041,581580,44824,2197,7158
2020-06-29,23389,220657,27121,66910,566602,40759,2055,7000
2020-06-28,25558,216852,26648,64143,556198,39552,2004,6904
2020-06-27,25700,212802,26381,67099,551052,43124,1972,6859
2020-06-26,25786,208392,25779,66440,542120,43047,1903,6762
2020-06-25,25529,202951,25060,63583,528651,40914,1966,6570
2020-06-24,24036,196847,24324,62475,515658,40219,1894,6412
2020-06-23,24387,191410,23377,59106,501871,37894,1848,6260
2020-06-22,23155,185122,22584,57281,488550,35710,1874,6111
2020-06-21,24225,180545,21825,56590,479528,35875,1892,6035
2020-06-20,23567,175202,20781,60621,473952,40333,1895,5990
2020-06-19,23653,170485,20394,62245,465867,42398,1891,5921
2020-06-18,23528,165455,19747,59778,453481,40660,1868,5754
2020-06-17,22209,159793,19080,59076,441670,40147,1846,5635
2020-06-16,21159,154863,18310,56843,428563,38466,1779,5494
2020-06-15,20392,150264,17580,53217,415097,35222,1615,5315
2020-06-14,22398,146837,17141,52636,406549,35936,1531,5224
2020-06-13,21740,142690,16872,56926,401755,40615,1543,5184
2020-06-12,21872,139196,16448,56928,393714,41286,1508,5093
2020-06-11,20832,133974,15944,55700,381139,40338,1490,4929
2020-06-10,19897,129184,15357,53608,369362,38877,1468,4741
2020-06-09,18904,124301,14649,50677,357055,35953,1478,4591
2020-06-08,18416,120102,14053,46398,344375,32086,1284,4427
2020-06-07,19629,117103,13699,45317,336395,32060,1175,4349
2020-06-06,19278,113619,13511,48273,332326,35454,1189,4300
2020-06-05,19015,110026,13170,48822,324897,36446,1134,4171
2020-06-04,18377,105680,12545,46659,314063,34696,1033,3981
2020-06-03,16829,101238,11728,44869,303461,33337,948,3822
2020-06-02,16940,97326,10637,42151,293078,31478,924,3666
2020-06-01,16303,93435,10167,38497,282089,28390,851,3572
2020-05-31,16962,90664,9930,36803,274997,27557,788,3513
2020-05-30,16486,87512,9779,38994,270992,29905,801,3483
2020-05-29,16209,84627,9415,38846,264026,30068,818,3388
2020-05-28,16315,81400,9044,36131,254794,28371,783,3286
2020-05-27,15592,78023,8597,33566,244858,26113,727,3153
2020-05-26,14718,74560,8134,31878,235129,24695,716,2998
2020-05-25,14020,71105,7633,29509,225650,22441,641,2859
2020-05-24,14247,68620,7394,28931,219164,22084,595,2766
2020-05-23,14253,65856,7179,31663,215656,25328,781,2572
2020-05-22,13347,62527,6989,33801,210070,27315,814,2482
2020-05-21,12905,59567,6510,33291,201838,26564,769,2331
2020-05-19,11767,54346,5666,29450,185775,23003,733,2117
2020-05-18,11300,51633,5332,26933,177133,21028,656,2009
2020-05-17,11105,49219,5177,27507,172294,22094,582,1972
2020-05-16,10681,47144,5045,29409,169097,24408,535,1946
2020-05-15,10238,45032,4767,29028,163691,24777,462,1871
2020-05-14,10057,42595,4477,26746,155932,23651,420,1790
2020-05-13,9378,40186,4220,24856,148497,22539,318,1705
2020-05-12,8817,38324,3926,22980,142204,20898,277,1613
2020-05-11,8288,36327,3573,20991,135116,19078,259,1512
2020-05-10,8457,35022,3465,19979,130956,18392,247,1484
2020-05-09,8283,33460,3353,20887,128148,19375,252,1447
2020-05-08,8048,31522,3160,20571,123446,18975,254,1389
2020-05-07,7802,29616,2961,18812,117211,17211,245,1339
2020-05-06,7149,27634,2704,17553,110994,16020,234,1269
2020-05-05,6708,26025,2507,16099,105664,14609,224,1193
2020-05-04,6696,24905,2270,13143,100041,11728,190,1120
2020-05-03,6933,23471,2154,12664,95839,11576,191,1090
2020-05-02,6580,22088,2061,14536,93791,13416,170,1068
2020-05-01,6390,20739,1972,15446,91188,14402,164,1056
2020-04-30,5912,19224,1859,15520,87372,14360,191,1027
2020-04-29,5444,17799,1732,13263,81912,12279,152,984
2020-04-28,5329,16752,1569,11220,77005,10287,164,937
2020-04-27,5009,15529,1434,8614,71103,7690,137,881
2020-04-26,4972,14677,1351,7612,67635,6746,86,824
2020-04-25,4798,13842,1305,8239,65500,7281,72,799
2020-04-24,4502,12872,1221,7889,62334,6783,77,756
2020-04-23,4127,11633,1069,7588,58885,6537,81,692
2020-04-22,3618,10544,970,7706,55694,6645,91,650
2020-04-21,3185,9501,857,8262,51634,6978,112,534
2020-04-20,2965,8772,712,9653,50915,6835,128,506
2020-04-19,2955,8261,686,10139,49570,7291,112,490
2020-04-19,2273,7497,650,12369,49167,9077,123,478
2020-04-19,413,5014,332,9341,38670,3890,84,288
2020-04-19,255,4661,296,8697,36594,2971,71,249
2020-04-19,1283,6297,486,12340,47235,7959,101,425
2020-04-19,1777,6875,546,13364,48365,9504,153,434
2020-04-19,627,5399,406,10792,41593,5664,90,359
2020-04-19,918,5847,449,11717,44436,6899,92,396
